# nodes.csv file for A* graph search scene.
# All lines beginning with a # are treated as a comment and ignored.
# Each line below has the form
# id,x,y,heuristic_cost
1,-0.5,-0.5,1.4142
2,-0.46464,-0.46464,1.3642
3,-0.42929,-0.42929,1.3142
4,-0.40187,-0.38748,1.2653
5,-0.35445,-0.37162,1.2206
6,-0.31116,-0.34661,1.1725
7,-0.26222,-0.33633,1.1316
8,-0.22213,-0.30645,1.0825
9,-0.18878,-0.2692,1.0325
10,-0.14318,-0.24869,0.98702
11,-0.1246,-0.20227,0.93985
12,-0.091375,-0.16491,0.88985
13,-0.083064,-0.1156,0.8479
14,-0.10188,-0.27687,0.98275
15,-0.1184,-0.080226,0.84799
16,-0.15114,-0.042439,0.84748
17,-0.17889,-0.00084717,0.84365
18,-0.2217,0.024988,0.864
19,-0.21172,-0.038564,0.89252
20,-0.14871,0.039012,0.79582
21,-0.11959,0.079662,0.74872
22,-0.32321,-0.41066,1.2276
23,-0.042366,-0.17481,0.86576
24,-0.26543,0.049231,0.8883
25,-0.47022,-0.40057,1.3238
26,-0.15749,-0.2302,0.98259
27,-0.12903,-0.004543,0.80638
28,-0.0012138,-0.14641,0.81797
29,-0.25607,0.098347,0.85613
30,-0.30243,0.11707,0.88912
31,-0.30769,0.022509,0.93828
32,-0.081366,-0.11592,0.84696
33,-0.16791,0.092524,0.78239
34,0.048292,-0.1394,0.78286
35,0.094241,-0.11969,0.74071
36,0.12163,-0.077856,0.69071
37,-0.33584,-0.018814,0.98377
38,0.1715,-0.074227,0.66155
39,-0.35845,-0.42146,1.2594
40,-0.37696,0.0096377,1.0047
41,-0.23917,-0.3807,1.1498
42,0.19633,-0.030827,0.61155
43,0.22116,0.012573,0.56155
44,-0.033071,-0.22394,0.89903
45,-0.14931,-0.010985,0.82626
46,-0.41084,-0.027127,1.0524
47,-0.35234,0.11406,0.93565
48,-0.41069,-0.077127,1.0782
49,-0.15216,0.13998,0.74493
50,0.22771,0.062142,0.51562
51,-0.25408,-0.013112,0.9121
52,-0.37543,0.15841,0.93971
53,0.26982,0.0010789,0.54946
54,-0.3595,0.2058,0.90846
55,-0.12078,0.17891,0.69891
56,0.11829,-0.16352,0.76548
57,0.14436,-0.20619,0.79069
58,0.13724,-0.25568,0.83824
59,0.31811,-0.011874,0.54323
60,0.3654,-0.028111,0.54499
61,0.17014,-0.29333,0.85917
62,-0.4022,-0.47132,1.3257
63,-0.24043,-0.43069,1.1893
64,-0.08954,0.21795,0.65354
65,0.38267,0.01881,0.49529
66,0.39452,0.067387,0.44529
67,-0.37494,0.25336,0.90904
68,0.17795,0.067016,0.53962
69,-0.35286,-0.46325,1.2866
70,-0.19383,0.16761,0.76934
71,-0.061163,0.25911,0.61068
72,0.13346,-0.3273,0.90487
73,0.40636,0.11596,0.39529
74,-0.015539,0.27957,0.56069
75,0.29898,0.041696,0.50045
76,-0.23666,0.0047692,0.88765
77,0.41821,0.16454,0.34529
78,0.21901,-0.0898,0.65331
79,-0.40365,0.29429,0.92677
80,0.43005,0.21312,0.29529
81,0.44189,0.26169,0.24529
82,-0.30637,-0.36358,1.1815
83,-0.32278,-0.067079,0.99927
84,0.45374,0.31027,0.19529
85,-0.31324,0.03459,0.937
86,0.46558,0.35885,0.14529
87,0.33198,-0.059913,0.58458
88,0.14054,0.033831,0.58866
89,-0.073486,0.30757,0.60491
90,-0.38381,0.34019,0.89815
91,0.026932,0.25318,0.53358
92,-0.34507,0.37179,0.85474
93,-0.29649,-0.049656,0.96773
94,0.47743,0.40743,0.095287
95,0.24625,-0.043017,0.59938
96,0.48927,0.456,0.045287
